Periodos,S11,S21,S22,S23,S31-S33,S43,S46,S48-S49-S51,S52-S53,S54-S55-S56,S61-S62,S71-S81,S72,S93
1996/12,74.33471595,97.79348965,46.37128735,77.8052857,73.62886708,51.52657194,59.05568723,54.44177146,53.56483744,67.54872994,78.64261965,70.15202541,91.15843019,82.47705497
1997/01,73.51102806,97.70782171,47.40577111,71.6285052,72.86016694,52.61008575,58.58192047,54.57702528,53.80719223,70.70198283,78.12537213,75.15344253,91.61776846,86.11563684
1997/02,71.59729051,98.98116266,47.25341288,69.96473409,74.29210603,53.28291188,58.4030539,55.1601857,53.98200381,67.38761318,78.76665947,74.39882521,92.6427683,85.78718028
1997/03,73.00424402,98.81813956,48.13840145,67.97809318,74.88162737,53.98174165,58.94016178,54.97899687,54.31065093,67.58370385,78.93485503,73.49597428,92.32075422,85.56670314
1997/04,74.58126025,98.25493413,47.23955855,73.72390798,76.69551268,54.15446951,59.68789496,56.26292352,54.00693206,68.52149919,80.27695856,74.79964657,93.14111385,85.5994094
1997/05,77.03718409,99.80873457,47.45345809,75.70485177,76.61902832,54.56237391,59.5906296,56.73259273,54.38206312,68.59033581,79.89223047,74.58914257,94.1196913,85.63287185
1997/06,72.08649345,101.1775992,47.35746927,75.55520249,78.15331324,56.66175505,61.36203393,57.27052012,54.46902144,69.18029618,80.48453446,74.50828989,94.89764102,85.66931809
1997/07,70.15418083,100.9657603,47.56064062,75.48138296,78.37392489,56.38927575,61.5702583,56.93725964,54.60319403,68.65333093,80.84202871,75.34914756,94.97573017,85.6930987
1997/08,75.15794095,102.3165176,47.96074024,77.02301009,78.46241283,57.32572298,62.10620638,57.46621826,54.73645416,68.69490899,81.14626132,73.28325477,95.77769507,85.71769617
1997/09,74.41553018,104.007096,47.98771819,76.68299238,78.94199595,57.50625085,62.75797068,57.47173593,54.81307099,69.27626885,81.12506885,74.30997233,96.52388198,85.76000565
1997/10,85.1310989,104.0661196,48.14804598,75.81930489,80.09400291,58.65326544,63.70284714,59.18253692,54.99574259,70.92926607,81.72713121,74.17469681,96.5735578,85.82301706
1997/11,80.29956239,104.3033192,47.54036235,75.32606934,81.16228951,60.88135853,65.47470721,60.29237994,55.07257646,70.74042454,81.83470724,74.96573535,96.46736652,85.58393545
1997/12,73.19792272,102.8264394,47.64921959,76.14250896,80.86467218,60.22802552,65.63087455,59.53684246,55.15220033,70.95471385,82.7089539,74.19986241,96.87020381,85.00271805
1998/01,66.78350894,103.0696216,47.51607969,75.39954055,82.45013313,60.23082251,67.04526626,60.38133423,55.38274346,74.80219435,81.69696837,75.2388857,97.45353861,84.60367635
1998/02,80.56496834,105.1980377,47.31366852,77.82027757,83.19180525,60.49870476,66.89843857,60.67581611,55.57844428,72.39978212,82.18982423,75.50610989,96.25613115,84.25567186
1998/03,81.58442061,104.5682856,47.0297184,78.3885091,84.2906454,60.95977839,67.80762035,61.2772464,55.74494337,72.336225,82.82203809,76.83746553,96.93594086,84.10756954
1998/04,78.35025292,105.4288697,47.03504825,79.05718935,83.70224569,61.65993516,68.21450839,60.87791419,55.88842306,73.28868278,82.59463534,76.25103986,96.9472263,84.15975559
1998/05,71.83430553,104.8859341,47.37362385,78.98005763,84.65179423,61.60473059,67.57195445,61.07010339,56.10447868,73.15098824,81.5011998,76.51726818,98.40205239,84.23300874
1998/06,76.49709297,103.1022138,47.61134666,78.74052644,83.56176029,59.53590907,65.71569422,61.13254972,56.26478282,73.02297242,82.78900321,76.42483002,97.66187134,84.29163851
1998/07,82.627075,103.0377389,48.40469276,80.36862878,83.96410176,61.36374726,67.58450728,61.4544407,56.27351138,72.19007456,83.25309947,76.39296337,98.24836948,84.34866443
1998/08,81.2573746,102.0696344,47.96444554,80.29150042,84.49372329,61.5375081,67.6962813,61.60927244,56.5240811,72.47683901,83.08019673,75.99192111,98.72551276,84.39668267
1998/09,79.9877009,98.97711352,47.91657455,83.75339357,83.68045837,60.49344032,66.95592095,61.52692735,56.59438396,72.49156497,83.14425352,76.32348417,98.55715675,84.45965224
1998/10,77.04777735,96.26588758,48.23697239,82.30319115,84.42591297,60.60325879,66.90798738,61.1275108,56.53735055,72.54225723,83.28966757,76.33539491,98.24688853,84.55339907
1998/11,77.25973826,105.5144486,48.50378508,77.50099546,84.46059401,61.11146084,67.00660317,62.18084147,56.70280208,72.33996337,83.26815298,76.12586187,98.90853664,84.34752117
1998/12,77.79723629,104.5962557,49.56864888,81.57090388,84.50213246,60.53076594,67.34731942,62.26444825,56.8140314,72.59835027,82.86192275,76.66565399,99.01070932,83.81706943
1999/01,88.27696084,102.7513194,51.83231477,85.02539582,84.2705599,61.16952404,67.43905868,62.62798671,57.03471566,73.82046851,83.79113486,76.6951364,98.29388898,87.40927485
1999/02,81.96670273,100.7786562,52.52635689,83.35575941,84.86122976,61.70496454,68.43030326,63.08357419,57.21692586,73.73759658,83.51893869,76.5803269,98.6102442,87.07669907
1999/03,81.17192069,101.2491957,53.31333225,83.86397529,84.26543063,62.57949559,69.34979481,63.53003925,57.44536614,73.81945562,84.16538958,76.81585903,98.02157076,86.91190382
1999/04,75.04071059,98.42893844,54.03746551,82.11293308,87.49963192,61.13452429,68.78603872,63.76589106,57.70402604,74.04926835,84.13928064,77.00338271,95.34442587,86.89774833
1999/05,79.32841752,98.55833269,54.22842033,82.44246674,86.7175429,63.65779061,70.25096635,64.31050658,57.87607612,74.23532382,84.33020353,77.28225317,95.41866836,86.89809701
1999/06,67.87495213,95.48397913,54.42464752,83.36889343,86.25129736,63.48371626,70.62891849,64.19618843,58.10252841,74.49866023,84.05610474,78.05254912,97.3893361,86.88977583
1999/07,81.7575878,97.42244269,55.13144224,82.07278755,87.2476727,63.72876138,70.51192554,65.0005689,58.46936663,75.81618675,84.01185455,78.58275936,98.73927928,86.86007203
1999/08,75.5339851,96.07538199,54.73495618,81.23381151,87.03830141,63.69549467,70.66567045,65.21054223,58.61374706,76.02836123,84.21932353,78.5740462,97.97755085,86.79919119
1999/09,78.67005488,98.06927066,55.38952684,82.64050215,87.41587822,64.37451614,71.68150654,65.52813836,58.85099449,76.32855294,84.31924467,78.64712014,98.25029981,86.72851569
1999/10,75.41184968,97.4949951,55.42886509,81.62785123,86.12990795,65.73029693,72.96302711,65.76079718,59.08874467,76.25550848,84.40230086,77.66239479,99.05485513,86.66030694
1999/11,76.49156637,100.0815852,56.21024529,83.46626454,86.26234023,65.24687247,72.5655229,66.14560576,59.44687629,76.74905631,84.71363744,78.27000471,97.84620867,86.41833059
1999/12,77.88472284,97.12166538,55.67147344,84.60121839,88.00831473,65.62050057,73.74922799,66.83446693,59.20526689,77.15601566,84.56625303,79.08069,95.89795308,85.77167553
2000/01,88.43298455,101.1454177,53.8118949,85.43420618,90.07956497,68.68706849,76.95138565,68.3527619,59.69348798,78.32983821,86.04387609,79.13935975,98.42233688,91.89489881
2000/02,74.48724696,99.81068222,54.60080265,86.26804944,90.55638322,67.2638338,76.24107215,67.94639353,59.9665068,78.972719,85.29397481,79.81095904,100.0920239,91.54820802
2000/03,76.03770439,101.1599321,55.20810756,84.12710159,90.849042,65.22415147,74.53004596,68.14593985,60.15454241,79.07041117,84.66539389,79.78047519,100.3973141,91.11000592
2000/04,75.58735502,103.7435158,54.95074612,84.43424932,90.69864304,67.62002605,76.08910629,68.50431445,60.3174107,79.7786535,84.66162378,79.40356699,101.4419041,90.79990837
2000/05,80.62683295,103.1327833,55.1976754,85.6135119,91.71579579,68.00472916,77.30236213,68.77968559,60.5320072,79.60465942,84.89470151,79.47500882,102.0040432,90.54902217
2000/06,78.31275944,104.3895138,55.20318071,84.68428793,92.62038406,68.78175046,77.93916127,69.44852448,60.74469599,80.10289378,85.27618769,79.71408952,101.4606855,90.30114653
2000/07,73.46203404,96.7913151,54.69142599,83.05184572,96.5095415,69.59264028,78.55256457,69.93660932,60.92146179,80.84797582,85.01617411,80.04281777,102.6787252,90.03642646
2000/08,75.65909234,105.6183332,55.33109644,83.37516461,92.75791978,68.800222,78.50651906,70.13387283,61.05269607,80.87994284,85.12466405,80.31173737,102.8746255,89.73976875
2000/09,76.80246215,107.4576319,55.95553999,82.01576464,93.01879421,70.08705141,79.522209,70.47952763,61.25967532,81.26153966,85.43618642,80.65510047,104.7080085,89.41352521
2000/10,81.26273577,99.79478803,56.19591527,82.04355475,93.22960457,69.41373476,79.10755677,70.34424823,61.41288437,82.08560283,85.24795441,80.76403187,105.3175437,89.04791991
2000/11,76.48313754,102.3945051,56.77514565,80.45636414,91.12219019,70.89301054,80.61904955,70.03987757,61.57290731,81.29044253,85.27949373,80.75288044,105.5315933,88.53951005
2000/12,84.09257878,102.9077807,56.50891344,79.61517797,89.50149007,69.07358743,79.02424343,69.98964418,61.38543851,80.85247282,85.63956194,80.47056955,103.8107717,87.74204169
2001/01,80.24188492,103.8067397,56.38395373,78.66072688,92.67216104,67.63490721,79.58428458,70.25047677,62.12133168,80.25670515,85.43447822,80.01936452,103.9072344,85.3720658
2001/02,74.50469986,107.1002039,56.85546813,77.09183056,91.27747936,67.32687303,79.26653665,70.18178293,62.31643956,79.76291853,85.70031455,80.01406752,102.7463444,85.01594614
2001/03,81.34270985,105.9535131,57.07349002,76.73950355,90.02275776,67.15993133,79.71732377,70.47358953,62.48496755,79.59047779,86.0879159,80.23984264,102.6560163,84.49409874
2001/04,83.67411764,102.5063683,57.72274322,73.21446752,89.42551818,69.01008996,81.15403698,70.19431392,62.72093161,79.61674186,86.11984812,79.72723252,100.7517239,84.23857281
2001/05,83.15726814,102.2355213,57.46277272,75.25403396,90.2783558,66.70879871,79.25978099,70.25137662,62.94060156,79.11799919,86.38533898,79.87611323,99.88902511,84.08161375
2001/06,85.43529118,105.7321177,58.03905951,76.21027842,89.42746467,67.03657653,79.363474,70.53011693,62.95991091,79.07941232,86.47058879,79.78862168,100.3734607,83.99604939
2001/07,80.21151599,106.2970825,57.55879557,78.65758107,89.10576133,66.84292322,79.0710702,69.9854426,63.21013775,79.0089708,86.44952885,79.46537655,100.1934279,84.02919291
2001/08,88.0460853,105.8385624,59.04511614,79.10202573,88.58402949,67.07896156,79.8503126,70.20191452,63.47571142,79.06876745,86.7207361,79.6800878,99.77446415,84.15354077
2001/09,85.26672828,106.7872297,58.89321723,78.26495056,89.31132334,67.45018092,79.81464145,69.85517376,63.62609714,79.2522265,86.79250726,79.57439589,97.39336499,84.4611107
2001/10,85.60357534,103.8755585,59.47125555,76.07196337,87.19375125,65.91911766,78.87625885,69.37981089,63.77925273,79.15925292,86.65172799,79.61587483,96.5102865,84.78580685
2001/11,90.73738816,108.2197325,60.16380936,76.76602416,87.23988138,65.72933313,77.78130638,69.80993874,63.95310733,79.26470888,86.48936653,80.14210928,96.37416268,85.02785481
